name;description
BLACKMAGIC DESIGN POCKET CINEMA CAMERA 4K;2500/5000смена
Fujifilm xt 4;2000/смена
panasonic gh 5;1200/смена
panasonic gh 3;800/смена
Объективы ;
panasonic 25 mm 1.4;500/смена
fujinon 16-80;1000/смена
panasonic 12-35 2.8 v1;1200/смена
sigma 18-35 1.2;1500/смена
belomo 8 mm 3.2;1000/смена
canon 8mm 2.8;500/смена
Tokina 11-16  2.8;800/смена
Gellios 44mm ;
Световые приборы ;
Aputure Nova 300c;3500/смена
Aputure 300d Mk2;2000/смена
Aputure 300d Mk1;1500/смена
Aputure 120d Mk2;1000/смена
Aputure Amaran 300C;2000/смена
Aputure Amaran 300C;2000/смена
AMBITFUL A2 RGB 2500-8500K RGB;1000/смена
(растры + кейс) 30 см;
AMBITFUL A2 RGB 2500-8500K RGB;1000/смена
(растры + кейс) 30 см;
AMBITFUL A2 pro RGB 2500-8500K RGB;350/смена
(растры + кейс) 60 см;
Ulanzi VL49, 6 Вт, 2000 мАч, 5500K;200/смена
Ulanzi VL49, 6 Вт, 2000 мАч RGB;200/смена
Панели Led 60w;200/смена
Штативы, стойки, гриповка ;
Boom GreenBean Titan 216 BRC22;500/смена
C Stand 2.6m;200/смена
C Stand 2.6m;200/смена
C Stand 2.6m;200/смена
Kupo Low Boy;250/смен
стойка для камеры;500/смена
sand bag;150/смена
штативы для камер;500/смена
Аксессуары;
стабилизатор moza air cross 2;1800/смена
tilta nucleus nano  Радио-фокусировка;1000/смена
Накамерный монитор;1000/смена
Видеосендер Acssoon se (Hdmi-sdi) 4 абонента ;2000/смена
ssd samsung t7;700/смена
ssd samsung t7;700/смена
EasyRig  FlyCam до 10кг;1500/смена
Ronin rs 2 pro;2500/смена
Tilta ring;1000/смена
Площадка питания ;150/смена
V-mount 285w;800/смена
Np-f;150/смена
клетка tilta;200
ручка focus tilta;500
ручка tilta;800
дым машина 500w;800
отражатель 4 в одном;150
отражатель 4 в одном;150
Софтбокс AMBUTFUL 90 см;1500
Стрип Бокс AMBUTFUL 30 120 с сотами;500
Стрип Бокс godox 30 120 с сотами;500
линза френеля;200
линза френеля;200
hdmi;100
hdmi;100
hdmi;100
хромакей 6х3 m;500
